Tokyo,0.086572,37273866,2,,35.67,139.77,0.086572
Mexico City,0.049564,21339781,4,,19.43,-99.14,0.136136
New York,0.046404,19979477,1,,40.67,-73.94,0.182541
Osaka,0.044833,19302746,2,,34.68,135.5,0.227373
Los Angeles,0.030871,13291486,1,,34.11,-118.41,0.258244
Chicago,0.022062,9498716,1,,41.84,-87.68,0.280306
Nagoya,0.021747,9363221,2,,35.15,136.91,0.302053
Dallas,0.017512,7539711,1,,32.79,-96.77,0.319565
Houston,0.016252,6997384,1,,29.77,-95.39,0.335817
Washington,0.014516,6249950,1,,38.91,-77.02,0.350333
Miami,0.014397,6198782,1,,25.78,-80.21,0.364731
Philadelphia,0.014159,6096372,1,,40.01,-75.13,0.37889
Atlanta,0.013819,5949951,1,,33.76,-84.42,0.392709
Toronto,0.013768,5928040,8,,43.65,-79.38,0.406478
Fukuoka,0.012863,5538142,2,,33.59,130.41,0.419341
Boston,0.011324,4875390,1,,42.34,-71.02,0.430664
Phoenix,0.011283,4857962,1,,33.54,-112.07,0.441948
Guadalajara,0.011141,4796603,4,,20.67,-103.35,0.453088
San Francisco,0.010985,4729484,1,,37.77,-122.45,0.464073
Oakland,0.010985,4729484,1,,37.77,-122.22,0.475058
Riverside,0.010736,4622361,1,,33.94,-117.4,0.485794
Monterrey,0.010396,4475949,4,,25.67,-100.32,0.496189
Detroit,0.010049,4326442,1,,42.38,-83.1,0.506238
Montreal,0.00952,4098927,8,,45.52,-73.57,0.515758
Seattle,0.00915,3939363,1,,47.62,-122.35,0.524908
Minneapolis,0.008429,3629190,1,,44.96,-93.27,0.533337
San Diego,0.007765,3343364,1,,32.81,-117.14,0.541102
Tampa,0.007299,3142663,1,,27.96,-82.48,0.548401
St. Petersburg,0.007299,3142663,1,,27.96,-82.48,0.555701
Puebla,0.006833,2941988,4,,19.05,-98.22,0.562534
Denver,0.006811,2932415,1,,39.77,-104.87,0.569345
Shizuoka,0.006601,2842151,2,,34.98,138.39,0.575946
St. Louis,0.006516,2805465,1,,38.64,-90.24,0.582462
Baltimore,0.00651,2802789,1,,39.3,-76.61,0.588971
Sapporo,0.006123,2636254,2,,43.06,141.34,0.595094
Orlando,0.005975,2572692,1,,28.5,-81.37,0.60107
Charlotte,0.005967,2569213,1,,35.2,-80.83,0.607037
San Antonio,0.005848,2518036,1,,29.46,-98.51,0.612885
Portland,0.005757,2478810,1,,45.54,-122.66,0.618643
Vancouver,0.005722,2463431,8,,49.28,-123.13,0.624364
Sacramento,0.005447,2345210,1,,38.57,-121.47,0.629811
Pittsburgh,0.005399,2324743,1,,40.44,-79.98,0.635211
Sendai,0.005242,2256964,2,,38.26,140.89,0.640453
Las Vegas,0.005183,2231647,1,,36.21,-115.22,0.645636
Cincinnati,0.005087,2190209,1,,39.14,-84.51,0.650723
Austin,0.005036,2168316,1,,30.31,-97.75,0.655759
Kansas City,0.004979,2143651,1,,39.12,-94.55,0.660738
Toluca,0.004916,2116506,4,,19.29,-99.67,0.665654
Columbus,0.004893,2106541,1,,39.99,-82.99,0.670547
Hiroshima,0.00487,2096745,2,,34.39,132.44,0.675416
Cleveland,0.004778,2057009,1,,41.48,-81.68,0.680194
Indianapolis,0.004758,2048703,1,,39.78,-86.15,0.684952
San Jose,0.004643,1999107,1,,37.3,-121.85,0.689596
Nashville,0.004485,1930961,1,,36.17,-86.78,0.69408
Tijuana,0.004275,1840710,4,,32.53,-117.02,0.698356
León,0.004107,1768193,4,,21.12,-101.69,0.702462
Norfolk,0.004015,1728733,1,,36.74,-76.04,0.706478
Utsunomiya,0.003845,1655673,2,,36.56,139.89,0.710323
Okayama,0.003808,1639414,2,,34.67,133.92,0.714131
Providence,0.003766,1621337,1,,41.82,-71.42,0.717896
Milwaukee,0.003661,1576113,1,,43.06,-87.97,0.721557
Jacksonville,0.003565,1534701,1,,30.33,-81.66,0.725122
Kumamoto,0.003468,1492975,2,,32.8,130.71,0.728589
Oklahoma City,0.003243,1396445,1,,35.47,-97.51,0.731833
Niigata,0.003241,1395612,2,,37.92,139.04,0.735074
Calgary,0.003234,1392609,8,,51.05,-114.06,0.738309
Juárez,0.003231,1391180,4,,31.74,-106.49,0.74154
Raleigh,0.003165,1362540,1,,35.82,-78.66,0.744704
Memphis,0.003137,1350620,1,,35.11,-90.01,0.747841
Ottawa,0.003075,1323783,8,,45.42,-75.71,0.750916
Edmonton,0.003069,1321426,8,,53.57,-113.54,0.753985
Richmond,0.003034,1306172,1,,37.53,-77.47,0.757019
Louisville,0.003013,1297310,1,,38.22,-85.74,0.760032
Torreón,0.002982,1283835,4,,25.55,-103.43,0.763014
New Orleans,0.002951,1270399,1,,30.07,-89.93,0.765964
Querétaro,0.002915,1255185,4,,20.59,-100.4,0.76888
Salt Lake City,0.002839,1222540,1,,40.78,-111.93,0.771719
Hartford,0.002802,1206300,1,,41.77,-72.68,0.774521
Birmingham,0.002675,1151801,1,,33.53,-86.8,0.777196
San Luis Potosí,0.002633,1133571,4,,22.16,-100.98,0.779829
Buffalo,0.002625,1130152,1,,42.89,-78.86,0.782454
Kagoshima,0.002617,1126639,2,,31.59,130.56,0.785071
Rochester,0.002488,1071082,1,,43.17,-77.62,0.787558
Grand Rapids,0.002484,1069405,1,,42.96,-85.66,0.790042
Mérida,0.002459,1058764,4,,20.97,-89.62,0.792501
Aguascalientes,0.002425,1044049,4,,21.88,-102.3,0.794926
Tucson,0.002413,1039073,1,,32.2,-110.89,0.79734
Fresno,0.00231,994400,1,,36.78,-119.79,0.799649
Tulsa,0.002308,993797,1,,36.13,-95.92,0.801957
Mexicali,0.002296,988417,4,,32.65,-115.47,0.804253
Cuernavaca,0.002284,983365,4,,18.92,-99.25,0.806537
Honolulu,0.002276,980080,1,,21.32,-157.8,0.808813
Worcester,0.002202,947866,1,,42.27,-71.81,0.811015
Bridgeport,0.002192,943823,1,,41.19,-73.2,0.813207
Omaha,0.002188,942198,1,,41.26,-96.01,0.815395
Saltillo,0.002145,923636,4,,25.42,-101,0.817541
Chihuahua,0.002133,918339,4,,28.63,-106.08,0.819674
Tampico,0.002129,916854,4,,22.22,-97.85,0.821803
Albuquerque,0.002127,915927,1,,35.12,-106.62,0.82393
Morelia,0.002118,911960,4,,19.72,-101.18,0.826048
Greenville,0.002106,906626,1,,35.6028518,-77.5174396,0.828154
Bakersfield,0.002083,896764,1,,35.36,-119,0.830237
Veracruz,0.002071,891805,4,,19.19,-96.14,0.832308
Acapulco,0.00206,886975,4,,16.85,-99.92,0.834368
Knoxville,0.002052,883309,1,,35.97,-83.95,0.83642
Albany,0.002051,883169,1,,42.7329703,-73.7476879,0.838471
McAllen,0.002011,865939,1,,26.22,-98.24,0.840482
New Haven,0.001992,857620,1,,41.31,-72.92,0.842474
Oxnard,0.001976,850967,1,,34.2,-119.21,0.844451
El Paso,0.001964,845553,1,,31.85,-106.44,0.846415
Allentown,0.001958,842913,1,,40.6,-75.48,0.848373
Columbia,0.001934,832666,1,,34.04,-80.89,0.850306
Baton Rouge,0.001931,831310,1,,30.45,-91.13,0.852237
Villahermosa,0.001912,823213,4,,17.98,-92.92,0.854149
Sarasota,0.001908,821573,1,,27.3358627,-82.5730357,0.856057
Dayton,0.001873,806548,1,,39.78,-84.2,0.857931
Quebec,0.001859,800296,8,,46.82,-71.23,0.85979
Charleston,0.001829,787643,1,,32.79,-79.99,0.861619
Winnipeg,0.001808,778489,8,,49.88,-97.17,0.863427
Reynosa–Río Bravo,0.001796,773089,4,,26.08,-98.28,0.865223
Greensboro,0.001783,767711,1,,36.08,-79.83,0.867006
Cancún,0.001772,763121,4,,21.17,-86.83,0.868778
Cape Coral,0.001753,754610,1,,26.64,-82,0.870531
Stockton,0.001748,752660,1,,37.97,-121.31,0.872279
Tuxtla,0.001745,751183,4,,16.75,-93.12,0.874024
Hamilton,0.001736,747545,8,,43.26,-79.85,0.87576
Little Rock,0.001721,741104,1,,34.72,-92.35,0.877481
Colorado Springs,0.001716,738939,1,,38.86,-104.76,0.879197
Boise,0.001696,730426,1,,43.61,-116.23,0.880894
Xalapa,0.001671,719591,4,,19.53,-96.92,0.882565
Lakeland,0.001644,708009,1,,28.0467375,-82.1784407,0.88421
Matsuyama,0.001642,706883,2,,33.84,132.77,0.885851
Akron,0.001637,704845,1,,41.08,-81.52,0.887489
Ogden,0.001568,675067,1,,41.227298,-112.0983141,0.889056
Winston-Salem,0.00156,671456,1,,36.1,-80.26,0.890616
Madison,0.001534,660422,1,,43.08,-89.39,0.89215
Daytona Beach,0.001532,659605,1,,29.2102482,-81.1668216,0.893682
Oaxaca,0.001531,659234,4,,17.07,-96.72,0.895213
Des Moines,0.001522,655409,1,,41.58,-93.62,0.896735
Syracuse,0.001511,650502,1,,43.04,-76.14,0.898246
Wichita,0.001498,644888,1,,37.69,-97.34,0.899744
Celaya,0.001476,635706,4,,20.52,-100.82,0.90122
Provo,0.001472,633768,1,,40.25,-111.64,0.902692
Springfield,0.001467,631761,1,,42.1128351,-72.5814467,0.90416
Augusta,0.001403,604167,1,,33.46,-81.99,0.905563
Toledo,0.0014,602871,1,,41.66,-83.58,0.906963
Palm Bay,0.001386,596849,1,,28.0277832,-80.7485157,0.90835
Jackson,0.001347,580166,1,,32.32,-90.21,0.909697
Durham,0.001336,575412,1,,35.98,-78.91,0.911033
Harrisburg,0.001335,574659,1,,40.2821392,-76.9155307,0.912368
Spokane,0.001332,573493,1,,47.67,-117.41,0.9137
Chattanooga,0.001303,560793,1,,35.07,-85.26,0.915003
Pachuca,0.001294,557093,4,,20.12,-98.76,0.916297
Scranton–Wilkes-Barre,0.00129,555485,1,,41.2767392,-76.1610141,0.917587
Modesto,0.001277,549815,1,,37.66,-120.99,0.918864
Fayetteville,0.001275,549128,1,,35.07,-78.9,0.920139
Lancaster,0.001262,543557,1,,40.0399702,-76.3354542,0.921402
Tlaxcala–Apizaco,0.001255,540273,4,,19.2659748,-98.2797543,0.922656
Youngstown,0.001252,538952,1,,41.0944767,-80.6746522,0.923908
Poza Rica,0.00125,538206,4,,20.55,-97.47,0.925158
Portland,0.001244,535420,1,,45.54,-122.66,0.926402
Kitchener–Waterloo,0.001217,523894,8,,43.46,-80.5,0.927619
Matamoros,0.001209,520367,4,,25.88,-97.5,0.928827
Lexington,0.0012,516697,1,,38.04,-84.46,0.930027
Santa Rosa,0.001161,499942,1,,38.45,-122.7,0.931188
Pensacola,0.001149,494883,1,,30.4368551,-87.2629557,0.932338
London,0.001148,494069,8,,42.97,-81.24,0.933485
Lafayette,0.001137,489364,1,,30.2119763,-92.1087807,0.934622
Port St. Lucie,0.00112,482040,1,,27.28,-80.35,0.935742
Lansing,0.001119,481893,1,,42.71,-84.55,0.936861
Myrtle Beach,0.001117,480891,1,,33.7197256,-78.9490191,0.937978
Cuautla,0.001104,475441,4,,18.82,-98.96,0.939082
Tepic,0.001094,471026,4,,21.5,-104.89,0.940176
Reno,0.001091,469764,1,,39.54,-119.82,0.941267
Springfield,0.001085,466978,1,,37.2,-93.29,0.942352
Visalia,0.001082,465861,1,,36.33,-119.32,0.943434
Huntsville,0.001075,462693,1,,34.71,-86.63,0.944508
Asheville,0.001067,459585,1,,35.5388506,-82.7058326,0.945576
Orizaba,0.001055,454238,4,,18.83,-97.1,0.946631
Corpus Christi,0.001052,452950,1,,27.71,-97.29,0.947683
Killeen,0.001049,451679,1,,31.1,-97.72,0.948732
York,0.001041,448273,1,,39.9408329,-76.8428734,0.949773
Vallejo,0.001037,446610,1,,38.11,-122.26,0.95081
Santa Barbara,0.001037,446527,1,,34.398567,-119.8200671,0.951848
Fort Wayne,0.001016,437631,1,,41.07,-85.14,0.952864
Shreveport,0.001013,436341,1,,32.4612476,-93.9541559,0.953877
Salinas,0.001012,435594,1,,36.68,-121.64,0.954889
Salem,0.001004,432102,1,,44.92,-123.02,0.955893
Puerto Vallarta,0.000989,425890,4,,20.62,-105.23,0.956882
Brownsville,0.000985,423908,1,,25.93,-97.48,0.957866
Reading,0.000976,420152,1,,40.3337622,-75.9604057,0.958842
Manchester,0.000964,415247,1,,42.98,-71.44,0.959807
Mobile,0.000961,413757,1,,30.68,-88.09,0.960768
Salisbury,0.000952,409979,1,,38.3774327,-75.6251642,0.96172
Beaumont,0.000951,409526,1,,30.09,-94.14,0.962671
Flint,0.000945,406892,1,,43.02,-83.69,0.963616
St. Catharines – Niagara,0.000943,406074,8,,43.18,-79.24,0.964559
Halifax,0.000937,403390,8,,44.67,-63.61,0.965496
Nuevo Laredo,0.000928,399431,4,,27.48,-99.51,0.966424
Anchorage,0.000927,399148,1,,61.18,-149.19,0.967351
Canton,0.000926,398655,1,,40.8047291,-81.4353554,0.968277
Biloxi,0.000923,397261,1,,30.4215437,-89.1389142,0.9692
Savannah,0.000905,389494,1,,32.02,-81.13,0.970104
Fayetteville,0.000899,387094,1,,35.07,-78.9,0.971003
Tallahassee,0.000895,385145,1,,30.46,-84.28,0.971898
Davenport,0.000886,381451,1,,41.5410646,-90.6591909,0.972784
Oshawa,0.000882,379848,8,,43.89,-78.86,0.973666
Eugene,0.000882,379611,1,,44.05,-123.11,0.974548
Naples,0.000879,378488,1,,26.14489,-81.8647517,0.975427
Montgomery,0.000867,373225,1,,32.35,-86.28,0.976294
Minatitlán,0.000865,372381,4,,17.98,-94.52,0.977159
Ann Arbor,0.000862,370963,1,,42.28,-83.73,0.97802
Trenton,0.000859,369811,1,,40.2160482,-74.8093107,0.978879
Hickory,0.000856,368416,1,,35.7312646,-81.389211,0.979735
Peoria,0.000856,368373,1,,40.74,-89.61,0.98059
Victoria,0.000854,367770,8,,48.43,-123.37,0.981445
Coatzacoalcos,0.000848,365026,4,,18.14,-94.42,0.982292
Ocala,0.000836,359977,1,,29.1738808,-82.1919132,0.983128
Colima,0.000835,359392,4,,19.24,-103.73,0.983963
Huntington,0.000819,352823,1,,38.4076653,-82.4770411,0.984783
Fort Collins,0.000814,350518,1,,40.56,-105.07,0.985597
Córdoba,0.000807,347647,4,,18.89,-96.92,0.986404
Zacatecas–Guadalupe,0.000805,346419,4,,22.78,-102.58,0.987209
Tehuacán,0.0008,344603,4,,18.45,-97.38,0.988009
Spartanburg,0.000793,341298,1,,34.9419759,-81.9575267,0.988802
Kalamazoo,0.00079,340318,1,,42.2741365,-85.6673598,0.989592
Monclova,0.00079,340166,4,,26.91,-101.42,0.990382
Rockford,0.000784,337658,1,,42.27,-89.06,0.991167
Lincoln,0.000777,334590,1,,40.82,-96.69,0.991944
Windsor,0.000764,329144,8,,42.3,-83.03,0.992708
Boulder,0.000757,326078,1,,40.0292887,-105.3101889,0.993466
South Bend,0.000749,322424,1,,41.68,-86.27,0.994214
Green Bay,0.000747,321591,1,,44.52,-87.99,0.994961
Lubbock,0.000741,319068,1,,33.58,-101.88,0.995702
Evansville,0.000731,314672,1,,37.98,-87.54,0.996433
Greeley,0.00073,314305,1,,40.4293338,-104.8334758,0.997163
Roanoke,0.00073,314172,1,,37.2743012,-80.027754,0.997893
Kingsport,0.000712,306616,1,,36.5064417,-82.5979645,0.998605
Columbus,0.000709,305451,1,,32.51,-84.87,0.999315
Saskatoon,0.000685,295095,8,,52.15,-106.66,1